commit_id,author_id,date,loc,addition,deletion,file_num,bug_num,author_activity_in_last_four_weeks,total_commit_num,buggy_commit_num,total_bug_num,first_commit_week,active_week_num,followers,public_repos,created_at,total_commits,total_files,days_after_creation,size,stargazers_count,watchers_count,forks_count,network_count
a992ca414f212fa4cdc52d8c510e6cfae27cc67c,mkordas,2015-08-22T21:54:53Z,6,4,2,2,1,"{'addition': 3468, 'deletion': 4231, 'commits': 220}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
c74d7b7549dffa19bea50b0b9207706174d20c0b,mkordas,2015-08-29T22:36:06Z,63,32,31,4,1,"{'addition': 4299, 'deletion': 5348, 'commits': 293}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
9ae0be5921780b18dd61d17c47b05de3c867838e,baratali,2015-08-29T13:41:11Z,31,20,11,1,1,"{'addition': 2752, 'deletion': 2195, 'commits': 47}",138,13,17,2014-06-15 08:00:00,43,3,13,2013-01-30T20:25:54Z,10119,3736,2773,85058,5937,5937,7802,7802
779aa37ffc447d1d85ea1b082759e4040657191d,romani,2015-06-15T04:55:07Z,147,102,45,1,1,"{'addition': 16778, 'deletion': 576, 'commits': 57}",2502,21,30,2013-09-08 08:00:00,321,68,6,2011-05-26T20:42:39Z,10119,3736,2773,85058,5937,5937,7802,7802
9f93c2258ef0512b743f5927be201ff55a9d5c57,mkordas,2015-08-16T20:24:05Z,5,4,1,1,1,"{'addition': 2006, 'deletion': 2319, 'commits': 132}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
0f58857d73933c7b6b7e62f0c7c16ad7af51556f,mkordas,2015-05-17T11:47:04Z,13729,4570,9159,300,5,"{'addition': 2304, 'deletion': 1754, 'commits': 56}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
0024de5711531372850e883c970414563ab8e3ad,Vladlis,2015-08-28T10:38:04Z,856,704,152,5,1,"{'addition': 1, 'deletion': 2, 'commits': 1}",166,9,9,2015-05-10 08:00:00,66,17,24,2014-11-11T16:13:00Z,10119,3736,2773,85058,5937,5937,7802,7802
e7556f4af60fa1602c1b74289c6c64e1a83e4235,oburn,2002-11-06T02:52:12Z,92,62,30,4,1,"{'addition': 3920, 'deletion': 2411, 'commits': 46}",1190,22,31,2001-06-17 08:00:00,228,17,5,2013-08-06T03:36:41Z,10119,3736,2773,85058,5937,5937,7802,7802
2071f9b5421f853e8515f309b2874399c895c43a,mkordas,2015-08-23T20:17:46Z,12,6,6,5,1,"{'addition': 3468, 'deletion': 4231, 'commits': 220}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
f38d8abd42c3e824635e542e6031b3da1997c02e,oburn,2007-12-20T06:21:11Z,449,403,46,154,1,"{'addition': 1376, 'deletion': 1380, 'commits': 17}",1190,22,31,2001-06-17 08:00:00,228,17,5,2013-08-06T03:36:41Z,10119,3736,2773,85058,5937,5937,7802,7802
eeb20e6c8cc86d2d283c254ddcddf89f46aa5190,mkordas,2015-08-16T21:08:23Z,4,2,2,1,1,"{'addition': 2006, 'deletion': 2319, 'commits': 132}",713,22,28,2014-12-14 08:00:00,48,41,93,2013-09-16T06:11:30Z,10119,3736,2773,85058,5937,5937,7802,7802
ac8eadea0b1fb183d56cd809a34a7b9047b47d47,alex-zuy,2015-02-27T13:09:04Z,10193,5551,4642,50,2,"{'addition': 140, 'deletion': 75, 'commits': 2}",7,1,2,2015-02-08 08:00:00,11,3,20,2014-08-26T12:31:48Z,10119,3736,2773,85058,5937,5937,7802,7802
c1a79b112296dac813d0b4326043590f2eb2c378,lkuehne,2004-04-12T10:54:27Z,253,190,63,5,1,"{'addition': 75, 'deletion': 34, 'commits': 4}",684,13,20,2002-01-06 08:00:00,158,1,0,2013-08-04T12:17:37Z,10119,3736,2773,85058,5937,5937,7802,7802
9a97b68c6987684cf1f1ccafb64906008b5dbe44,romani,2015-07-13T05:24:00Z,42,41,1,2,1,"{'addition': 1863, 'deletion': 868, 'commits': 84}",2502,21,30,2013-09-08 08:00:00,321,68,6,2011-05-26T20:42:39Z,10119,3736,2773,85058,5937,5937,7802,7802
259cc41625b88390ce26737a819aa446cfc72541,baratali,2015-08-11T11:41:57Z,78,73,5,4,1,"{'addition': 566, 'deletion': 180, 'commits': 14}",138,13,17,2014-06-15 08:00:00,43,3,13,2013-01-30T20:25:54Z,10119,3736,2773,85058,5937,5937,7802,7802
5f6be19819d22302257fd0c7ad1ebbf4f7382cba,romani,2015-07-13T05:41:37Z,8,8,0,1,1,"{'addition': 1863, 'deletion': 868, 'commits': 84}",2502,21,30,2013-09-08 08:00:00,321,68,6,2011-05-26T20:42:39Z,10119,3736,2773,85058,5937,5937,7802,7802
