created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,675,675,0,1,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,1401,1390,11,4,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,286,272,14,3,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,45,32,13,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,16,10,6,3,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,219,215,4,3,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,113,66,47,5,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,38,11,2012-05-16T10:22:21Z,32,stbachmann,13823,5391,8432,82,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,72,32,40,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,79,43,36,6,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,2603,1226,1377,111,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,38,18,20,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,109,12,2011-10-01T20:36:05Z,724,MobiDevelop,80,61,19,1,1
