created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num,commit_id
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,34,39,2013-02-02T06:47:59Z,2899,aaudiber,78,42,36,1,1,3ba4793b533d47144af2f7c305b1b25a7b8ee92c
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,42,6,2012-08-26T22:07:21Z,3644,calvinjia,3,3,0,1,1,18fa2c1c523f9b80d49ba82b1db8db893fb3ed7b
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,15,17,2016-04-05T19:56:16Z,1093,peisun1115,8,3,5,1,1,f1803dfba8c3515af1945a7ba4750b2226acad1b
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,34,39,2013-02-02T06:47:59Z,2899,aaudiber,90,50,40,15,1,9f78f3073825b057bf4f10fe0aff92043d2286ad
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,6,13,2012-09-01T20:31:40Z,993,madanadit,65,61,4,2,1,c630102e5a7b6563228eed5d90542759d608ca2c
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,15,17,2016-04-05T19:56:16Z,1093,peisun1115,1180,1180,0,13,1,9d33cc1fc579f5b68ebf77880e524d0527d0ad3f
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,34,39,2013-02-02T06:47:59Z,2899,aaudiber,12,6,6,3,1,0fdee35dc6694bea5fcbba517e4487cef087b511
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,34,39,2013-02-02T06:47:59Z,2899,aaudiber,380,190,190,23,1,0cc0545feac9179aebc6b7407860b7bf393825f4
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,85,9,2011-09-22T19:35:08Z,1655,jsimsa,28,20,8,2,1,092d790fbbfa1db0a8c4958f4095e9a5d2e256ab
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,85,9,2011-09-22T19:35:08Z,1655,jsimsa,135,57,78,45,1,db13994dc89af529948be2dbf248a4e89c2d2198
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,205,24,2012-02-06T19:56:57Z,4061,apc999,67,60,7,3,2,8a386eb107de7eff4b048157f659ab8ab8219084
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,24,6,2010-10-06T03:49:31Z,1753,gpang,539,439,100,5,2,67f4ceadcf6999f2bd160db2d325e96ca8e293e6
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,34,39,2013-02-02T06:47:59Z,2899,aaudiber,206,109,97,8,1,ff5a032fcbe05e077136465e15c9f1a2c0bb5d47
