commit_id,author_id,date,loc,addition,deletion,file_num,bug_num,author_activity_in_last_four_weeks,total_commit_num,buggy_commit_num,total_bug_num,first_commit_week,active_week_num,followers,public_repos,created_at
fa6a13859871b418d1e01fe3f8579b1bf8c5825e,philwebb,2017-01-27T04:42:51Z,676,638,38,8,2,"{'addition': 5171, 'deletion': 3483, 'commits': 55}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
10dbf3c571258bcc788d4fd091aeb42b3c011da6,philwebb,2017-01-19T04:29:31Z,166,142,24,12,1,"{'addition': 5236, 'deletion': 2792, 'commits': 65}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
c4188c8e4a480cd65b080d2738fee099da01fc62,garyrussell,2016-03-28T19:48:50Z,1415,1412,3,16,1,"{'addition': 2, 'deletion': 2, 'commits': 2}",51,1,1,2014-04-27 08:00:00,40,599,125,2010-11-16T13:16:44Z
642af52d0169577a98513c6489c74a47736c9d95,snicoll,2016-11-04T16:49:15Z,549,320,229,10,1,"{'addition': 732, 'deletion': 2778, 'commits': 20}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
b6b8bef009ae855be1cd6b57ac2a898c943d8a2d,philwebb,2016-11-22T22:51:56Z,98,45,53,4,1,"{'addition': 2084, 'deletion': 1275, 'commits': 24}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
77a1a3b3c08d8087c0e6ec8d921dac4bf55bf11f,dsyer,2016-12-20T12:54:13Z,98,94,4,2,1,"{'addition': 27, 'deletion': 10, 'commits': 2}",600,13,18,2013-04-21 08:00:00,118,3087,333,2009-09-07T08:52:49Z
c5cc626d48d7167095f37b3ba938bf9a6167a734,snicoll,2016-10-11T15:59:25Z,2503,5,2498,36,1,"{'addition': 1356, 'deletion': 5786, 'commits': 45}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
582239b03bdf8f041f9e13bb2fa0628081e51860,philwebb,2015-07-09T06:20:47Z,511,468,43,8,1,"{'addition': 14660, 'deletion': 10337, 'commits': 60}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
e07df7e4c6d69b5be6c56e76b854e1a3c7436e89,philwebb,2015-09-08T22:06:44Z,650,325,325,210,1,"{'addition': 2052, 'deletion': 1463, 'commits': 15}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
868589366e5428d6ba79ee26be5ef94602e5aa85,rwinch,2015-08-25T16:16:29Z,134,117,17,4,1,"{'addition': 55, 'deletion': 2, 'commits': 2}",20,1,1,2013-08-04 08:00:00,18,981,342,2010-08-12T18:08:04Z
00d594dcda6edbd7086b888e60bd0aa6562ad2e7,wilkinsona,2015-06-29T13:50:48Z,1183,413,770,27,2,"{'addition': 1159, 'deletion': 133, 'commits': 43}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
0e00a49dcc246893fcaf1c7a0497fac6dcbc7454,wilkinsona,2016-08-17T09:19:47Z,357,235,122,12,2,"{'addition': 656, 'deletion': 124, 'commits': 31}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
b488a3d9a3b6adb9991e889d02b3c7244d9a17e2,wilkinsona,2016-08-31T12:30:39Z,98,95,3,3,1,"{'addition': 3116, 'deletion': 1078, 'commits': 58}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
296dc7132b8e444df0e6173740fa6bba5a5f1bd1,philwebb,2016-07-27T02:44:47Z,666,289,377,13,1,"{'addition': 1822, 'deletion': 2223, 'commits': 39}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
53be0f8db7688d0cd6c5a743897b1cc7be293a89,wilkinsona,2014-06-30T13:19:03Z,97,66,31,2,2,"{'addition': 707, 'deletion': 297, 'commits': 21}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
48db5457f1060786011c0a46abea8fa9a9e05307,philwebb,2014-12-02T03:32:05Z,916,513,403,39,1,"{'addition': 3395, 'deletion': 3599, 'commits': 51}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
d01154c212791d22d91a6c883e4d7ffea9ba9d5b,snicoll,2014-07-09T16:15:35Z,290,216,74,7,2,"{'addition': 106, 'deletion': 7, 'commits': 1}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
bbc91cc03f5df31c1985811d07abe4f9a906355e,philwebb,2016-03-22T19:04:49Z,1743,1734,9,33,1,"{'addition': 6892, 'deletion': 2553, 'commits': 14}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
81d56355715a58b511257eb79a3059477652138e,philwebb,2016-03-22T18:42:47Z,1668,1668,0,20,1,"{'addition': 6892, 'deletion': 2553, 'commits': 14}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
eb3180d581ae372d073c18d6c3d34cc47a2139c8,wilkinsona,2016-04-04T14:41:13Z,931,854,77,20,1,"{'addition': 2933, 'deletion': 2093, 'commits': 19}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
2eafb3d88721e34490763d0c4ea14f17abebd736,philwebb,2016-05-31T16:33:21Z,1752,1751,1,22,1,"{'addition': 3167, 'deletion': 653, 'commits': 19}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
bbbb34a6900b0df4751e0e9a2b18f5c0353d6702,snicoll,2015-03-20T17:06:54Z,1101,1099,2,15,2,"{'addition': 4290, 'deletion': 926, 'commits': 8}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
